id,genre
1,Arts & Photography
2,Biographies & Memoirs
3,Business & Money
4,Calendars
5,Children's Books
6,Christian Books & Bibles
7,Comics & Graphic Novels
8,Computers & Technology
9,"Cookbooks, Food & Wine"
10,"Crafts, Hobbies & Home"
11,Education & Teaching
12,Engineering & Transportation
13,"Health, Fitness & Dieting"
14,History
15,Humor & Entertainment
16,Law
17,LGBTQ+ Books
18,Literature & Fiction
19,Medical Books
20,"Mystery, Thriller & Suspense"
21,Parenting & Relationships
22,Politics & Social Sciences
23,Reference
24,Religion & Spirituality
25,Romance
26,Science & Math
27,Science Fiction & Fantasy
28,Self-Help
29,Sports & Outdoors
30,Teen & Young Adult
31,Test Preparation
32,Travel